asset_price,demand_at_base_price,demand_at_base_price_lower_i0,asset_supply
0.754681045411501,1.1581950895819508,1.2718892075803145,0.78
0.7609408417403954,1.1453767686739058,1.2581355944873538,0.78
0.7672006380692897,1.1327676240208877,1.2446064202503486,0.78
0.7734604343981841,1.1203625768857235,1.231296235560721,0.78
0.7797202307270784,1.1081567116249198,1.218199766103747,0.78
0.7859800270559727,1.0961452691940108,1.2053119055900186,0.78
0.7922398233848671,1.084323640960809,1.1926277091172781,0.78
0.7984996197137615,1.072687362809658,1.1801423868444865,0.78
0.8047594160426558,1.0612321095208463,1.1678512979611289,0.78
0.8110192123715501,1.0499536894103119,1.1557499449358037,0.78
0.8172790087004445,1.0388480392156862,1.1438339680291263,0.78
0.8235388050293388,1.0279112192155668,1.1320991400568767,0.78
0.829798601358233,1.0171394085697043,1.1205413613901836,0.78
0.8360583976871274,1.0065289008685234,1.1091566551803138,0.78
0.8423181940160218,0.9960760998810938,1.0979411627963935,0.78
0.8485779903449161,0.9857775154912953,1.086891139465054,0.78
0.8548377866738104,0.9756297598125366,1.0760029501016604,0.78
0.8610975830027048,0.9656295434719394,1.0652730653233695,0.78
0.8673573793315992,0.9557736720554272,1.0546980576348348,0.78
0.8736171756604935,0.9460590427056462,1.0442745977778927,0.78
0.8798769719893877,0.936482640865111,1.0339994512370712,0.78
0.8861367683182821,0.927041537157389,1.0238694748932093,0.78
0.8923965646471765,0.9177328843995509,1.01388161381792,0.78
0.8986563609760708,0.9085539147394817,1.004032898202025,0.78
0.9049161573049651,0.8995019369120089,0.9943204404114743,0.78
0.9111759536338595,0.890574333608134,0.9847414321646243,0.78
0.9174357499627538,0.881768558951965,0.9752931418250731,0.78
0.9236955462916481,0.8730821360802385,0.9659729118045726,0.78
0.9299553426205425,0.8645126548196015,0.9567781560708314,0.78
0.9362151389494369,0.8560577694570739,0.9477063577553002,0.78
0.9424749352783311,0.8477151965993623,0.938755066856288,0.78
0.9487347316072254,0.8394827131169174,0.9299218980330082,0.78
0.9549945279361198,0.8313581541688515,0.9212045284863838,0.78
0.9612543242650142,0.8233394113050272,0.9126006959226537,0.78
0.9675141205939085,0.8154244306418218,0.904108196596032,0.78
0.9737739169228028,0.807611211108254,0.8957248834268624,0.78
0.9800337132516972,0.7998978027593254,0.8874486641918926,0.78
0.9862935095805916,0.7922823051535921,0.8792774997834647,0.78
0.9925533059094858,0.7847628657921293,0.8712094025345783,0.78
0.9988131022383802,0.7773376786161944,0.8632424346069361,0.78
1.0050728985672746,0.7700049825610362,0.8553747064392295,0.78
1.011332694896169,0.7627630601634066,0.8476043752530495,0.78
1.0175924912250631,0.7556102362204725,0.839929643613944,0.78
1.0238522875539575,0.7485448764979211,0.8323487580452599,0.78
1.030112083882852,0.7415653864851725,0.8248600076925298,0.78
1.036371880211746,0.7346702101956996,0.8174617230362572,0.78
1.0426316765406405,0.7278578290105668,0.8101522746510731,0.78
1.0488914728695349,0.7211267605633802,0.8029300720093262,0.78
1.0551512691984293,0.7144755576649263,0.7957935623272585,0.78
1.0614110655273237,0.7079028072658644,0.7887412294520092,0.78
1.0676708618562178,0.70140712945591,0.781771592787774,0.78
1.0739306581851122,0.694987176498018,0.7748832062595168,0.78
1.0801904545140064,0.6886416318961521,0.7680746573127187,0.78
1.0864502508429008,0.6823692094952755,0.7613445659476995,0.78
1.0927100471717952,0.6761686526122823,0.7546915837871375,0.78
1.0989698435006896,0.6700387331966278,0.7481143931754539,0.78
1.105229639829584,0.6639782510194833,0.7416117063088055,0.78
1.1114894361584782,0.6579860328902906,0.7351822643944735,0.78
1.1177492324873726,0.6520609318996415,0.7288248368385009,0.78
1.1240090288162667,0.6462018266874583,0.7225382204604741,0.78
1.1302688251451611,0.6404076207354896,0.716321238734397,0.78
1.1365286214740555,0.6346772416831901,0.7101727410546526,0.78
1.14278841780295,0.6290096406660823,0.7040916020260884,0.78
1.1490482141318443,0.6234037916757462,0.6980767207773082,0.78
1.1553080104607387,0.6178586909406153,0.6921270202962867,0.78
1.161567806789633,0.6123733563267946,0.6862414467874688,0.78
1.1678276031185273,0.6069468267581475,0.6804189690495428,0.78
1.1740873994474215,0.601578161654937,0.6746585778731218,0.78
1.1803471957763159,0.5962664403903266,0.6689592854575876,0.78
1.1866069921052103,0.5910107617640852,0.6633201248463954,0.78
1.1928667884341047,0.585810243492863,0.6577401493801569,0.78
