output,interest_rate_IR,interest_rate_IR_lower_i0
5.668341708542714,0.10696456281407034,0.09546456281407034
5.71356783919598,0.10721975879396985,0.09571975879396985
5.758793969849247,0.10747495477386933,0.09597495477386934
5.8040201005025125,0.10773015075376884,0.09623015075376884
5.849246231155779,0.10798534673366833,0.09648534673366833
5.894472361809045,0.10824054271356782,0.09674054271356783
5.939698492462312,0.10849573869346732,0.09699573869346734
5.984924623115578,0.10875093467336683,0.09725093467336683
6.030150753768844,0.10900613065326632,0.09750613065326633
6.075376884422111,0.10926132663316582,0.09776132663316582
6.1206030150753765,0.1095165226130653,0.0980165226130653
6.165829145728644,0.10977171859296482,0.09827171859296482
6.211055276381909,0.11002691457286431,0.09852691457286432
6.256281407035176,0.11028211055276381,0.09878211055276381
6.301507537688442,0.1105373065326633,0.09903730653266332
6.346733668341709,0.11079250251256278,0.0992925025125628
6.391959798994975,0.11104769849246231,0.09954769849246231
6.437185929648241,0.1113028944723618,0.0998028944723618
6.482412060301508,0.11155809045226128,0.10005809045226129
6.527638190954773,0.11181328643216078,0.1003132864321608
6.572864321608041,0.1120684824120603,0.1005684824120603
6.618090452261306,0.11232367839195978,0.10082367839195978
6.6633165829145735,0.11257887437185927,0.10107887437185928
6.708542713567839,0.11283407035175877,0.10133407035175879
6.7537688442211055,0.11308926633165829,0.1015892663316583
6.798994974874372,0.11334446231155777,0.10184446231155778
6.844221105527638,0.11359965829145728,0.1020996582914573
6.889447236180905,0.11385485427135676,0.10235485427135678
6.934673366834171,0.11411005025125628,0.10261005025125629
6.9798994974874375,0.11436524623115578,0.10286524623115578
7.025125628140704,0.11462044221105526,0.10312044221105526
7.07035175879397,0.11487563819095475,0.10337563819095477
7.115577889447236,0.11513083417085428,0.10363083417085428
7.160804020100502,0.11538603015075374,0.10388603015075375
7.206030150753769,0.11564122613065325,0.10414122613065326
7.251256281407035,0.11589642211055275,0.10439642211055276
7.296482412060302,0.11615161809045225,0.10465161809045226
7.341708542713568,0.11640681407035175,0.10490681407035175
7.386934673366834,0.11666201005025124,0.10516201005025125
7.432160804020101,0.11691720603015074,0.10541720603015076
7.477386934673367,0.11717240201005025,0.10567240201005025
7.522613065326634,0.11742759798994973,0.10592759798994973
7.5678391959799,0.11768279396984922,0.10618279396984923
7.613065326633166,0.11793798994974872,0.10643798994974872
7.658291457286432,0.11819318592964824,0.10669318592964824
7.703517587939698,0.11844838190954772,0.10694838190954772
7.748743718592965,0.11870357788944721,0.10720357788944722
7.793969849246231,0.11895877386934672,0.10745877386934674
7.839195979899498,0.11921396984924623,0.10771396984924624
7.884422110552764,0.1194691658291457,0.1079691658291457
7.9296482412060305,0.11972436180904521,0.10822436180904521
7.974874371859297,0.11997955778894472,0.10847955778894473
8.020100502512562,0.1202347537688442,0.10873475376884421
8.06532663316583,0.12048994974874372,0.10898994974874372
